HOT9,YJコード,組成の記述
100303101,1112700X1038,フローセン
100306201,1115400X1027,ラボナール注射用0.3g
100307901,1115400X2023,ラボナール注射用0.5g
116999702,1115403D3043,イソゾール注射用0.5g
116999703,1115403D3051,*チトゾール注用0.5g
118113501,1115403D4031,*チトゾール注用0.3g
100311603,1116700X1053,液化亜酸化窒素
100311608,1116700X1061,液化亜酸化窒素
100311606,1116700X1088,小池笑気
100311601,1116700X1100,笑気ガス〈ショウワ〉￥ｎ
100311612,1116700X1142,液化亜酸化窒素(エア・ウォーター）
100312301,1116701X1023,アネソキシン?30￥ｎ
100313001,1116702X1028,アネソキシン?50￥ｎ
100314701,1119400A1031,ケタラール静注用２００ｍｇ
100315401,1119400A2038,ケタラール筋注用５００ｍｇ
119847801,1119400A3026,ケタラール静注用５０ｍｇ
100316101,1119401A1036,ドロレプタン注射液２５ｍｇ
100317802,1119402A1022,1%ディプリバン注
115357601,1119402A1030,１％プロポフォール注「マルイシ」
117024501,1119402A1065,プロポフォール注1%「マイラン」（20mL）
118920901,1119402A1073,プロポフォール1％静注20mL「日医工」
116528902,1119402A1081,**プロポフォール静注１％「KABI」(20mL、50mL)
100318502,1119402A2029,1%ディプリバン注
115358301,1119402A2037,１％プロポフォール注「マルイシ」
117023801,1119402A2053,プロポフォール注１％「F」
117112901,1119402A2088,プロポフォール静注１％「ホスピーラ」
117025201,1119402A2096,プロポフォール注1%「マイラン」（50mL）
118921601,1119402A2100,プロポフォール1％静注50mL「日医工」
116529602,1119402A2118,**プロポフォール静注１％「KABI」(20mL、50mL)
115359001,1119402A3025,１％プロポフォール注「マルイシ」
118346701,1119402A3033,1%ディプリバン注
117022101,1119402A4021,プロポフォール注１％「F」
117111201,1119402A4048,プロポフォール静注１％「ホスピーラ」
117008501,1119402A5028,２％プロポフォール注「マルイシ」
113892401,1119402G1025,1%ディプリバン注?キット
113893101,1119402G2021,1%ディプリバン注?キット
113894801,1119701G1076,※エスカイン吸入麻酔液
117064101,1119702G1038,セボネス
118219401,1119702G1054,セボフルラン吸入麻酔液「マイラン」
100322204,1119702G1062,セボフレン吸入麻酔液
100323916,1121001X1042,ブロムワレリル尿素「三恵」
100323917,1121001X1050,「純生」ブロムワレリル尿素
100323914,1121001X1085,ブロムワレリル尿素「メタル」
100323904,1121001X1107,ブロムワレリル尿素「ホエイ」
100323908,1121001X1166,*ブロモバレリル尿素
100323903,1121001X1174,ブロムワレリル尿素「ヒシヤマ」
100323902,1121001X1204,*ブロバリン原末
100323909,1121001X1212,ブロモバレリル尿素「ヨシダ」
118813401,1121001X1220,ブロムワレリル尿素「JG」
100323905,1121001X1239,ブロモバレリル尿素原末「マルイシ」
100324601,1123001X1020,抱水クロラール「ホエイ」
100325303,1123700J1020,エスクレ坐剤「250」
100326003,1123700J2027,エスクレ坐剤「500」
116705401,1123700X1023,エスクレ注腸用キット「500」
100327701,1124001B1039,ユーロジン散1％
100328401,1124001F1022,ユーロジン1mg錠
113895501,1124001F1030,エスタゾラム錠1mg「アメル」
100329101,1124001F2029,ユーロジン2mg錠
113896201,1124001F2037,エスタゾラム錠2mg「アメル」
100331401,1124002M1042,ベノジールカプセル10
100332102,1124002M2022,ダルメートカプセル15
100334501,1124002M2049,ベノジールカプセル15
100335201,1124003B1070,ネルボン散１％
100339001,1124003C1092,ベンザリン細粒1％
