HOT9,YJコード,漢方薬名
109789401,5200001C1036,安中散
109788701,5200001C1052,安中散料
109791701,5200001D1023,安中散
109792401,5200001D1031,安中散（あんちゅうさん）
109793102,5200001D1040,安中散
109795501,5200001D1066,安中散
109796201,5200001D1074,アンチュウサン
109798601,5200001D1090,安中散料
109799301,5200001F1024,安中散(あんちゅうさん)
109800601,5200001M1023,安中散
115969102,5200002D1028,胃苓湯
109802001,5200002D1036,胃苓湯
109804401,5200003C1035,茵ちん蒿湯
109803701,5200003C1043,茵ちん蒿湯
109805101,5200003D1022,茵ちん蒿湯（いんちんこうとう）
109807501,5200003D1049,茵ちん蒿湯
109808201,5200003D1057,インチンコウトウ
109809901,5200003M1022,茵ちん蒿湯
115970702,5200004D1027,茵ちん五苓散
109811201,5200004D1035,茵ちん五苓散
109812901,5200005C1026,温経湯
115909702,5200005D1021,温経湯
109814301,5200005D1030,温経湯
109816701,5200006C1039,温清飲
109817402,5200006C1047,温清飲（うんせいいん）
109815001,5200006C1063,温清飲
109819801,5200006D1026,温清飲（うんせいいん）
109821101,5200006D1042,温清飲（うんせいいん）
109822801,5200006D1050,ウンセイイン
109823501,5200006D1069,温清飲
109824201,5200007C1025,越婢加朮湯
115910302,5200007D1020,越婢加朮湯
109826601,5200007D1039,越婢加朮湯
109827301,5200007D1047,越婢加朮湯
109829701,5200008D1025,黄耆建中湯
109831001,5200010C1027,黄連湯
115942401,5200010D1022,黄連湯
109834101,5200010D1030,黄連湯
109836501,5200011C1030,黄連解毒湯
109837201,5200011C1048,黄連解毒湯
109838902,5200011C1056,黄連解毒湯（おうれんげどくとう）
109835801,5200011C1072,黄連解毒湯
109840203,5200011D1027,黄連解毒湯
109841901,5200011D1035,黄連解毒湯（おうれんげどくとう）
109842601,5200011D1043,黄連解毒湯
109843302,5200011D1051,黄連解毒湯
115941701,5200011D1060,黄連解毒湯
109845701,5200011D1078,黄連解毒湯
109846401,5200011D1086,オウレンゲドクトウ
