HOT9,YJコード,組成の記述
100303101,1112700X1038,組成<BR>ハロタンに添加物としてチモール0.01％を添加したものである。
100306201,1115400X1027,成分・含量（1管中）<BR>日局チオペンタールナトリウム0.3g<<BR>>添加物（1管中）<BR>乾燥炭酸ナトリウム18mg￥ｎ塩化ナトリウム3mg￥ｎその他の添加物としてpH調整剤（水酸化ナトリウム）を含有する
100307901,1115400X2023,成分・含量（1管中）<BR>日局チオペンタールナトリウム0.5g<<BR>>添加物（1管中）<BR>乾燥炭酸ナトリウム30mg￥ｎ塩化ナトリウム5mg￥ｎその他の添加物としてpH調整剤（水酸化ナトリウム）を含有する
116999702,1115403D3043,イソゾール注射用0.5g<BR>1バイアル中にチアミラールナトリウム500mgを含有する。￥ｎ添加物として乾燥炭酸ナトリウム35mg，pH調節剤を含有する。￥ｎまた，添付溶解液は1アンプル中に日局注射用水20mLを含有する。
116999703,1115403D3051,販売名<BR>チトゾール注用0.5g<<BR>>成分・含量（1バイアル中）<BR>日局チアミラールナトリウム0.5g<<BR>>添加物（1バイアル中）<BR>乾燥炭酸ナトリウム0.035g<<BR>>添加物（1バイアル中）<BR>pH調整剤適量<<BR>>溶解液組成（1管中）<BR>日局注射用蒸留水20mL
118113501,1115403D4031,販売名<BR>チトゾール注用0.3g<<BR>>成分・含量（1バイアル中）<BR>日局チアミラールナトリウム0.3g<<BR>>添加物（1バイアル中）<BR>乾燥炭酸ナトリウム0.021g<<BR>>添加物（1バイアル中）<BR>pH調整剤適量<<BR>>溶解液組成（1管中）<BR>日局注射用蒸留水12mL
100311608,1116700X1061,本剤は亜酸化窒素99.999vol％以上を含む。￥ｎ室温、大気圧下において無色のガスで、においはない。耐圧金属製密封容器に充填された液化高圧ガスである。
100311606,1116700X1088,本剤は亜酸化窒素97.0vol%以上を含む。
100311601,1116700X1100,本剤は亜酸化窒素99.0vol％以上を含む。
100311612,1116700X1142,本剤は、亜酸化窒素99.99vol%以上含む。
100312301,1116701X1023,日本薬局方亜酸化窒素<BR>30vol％<<BR>>日本薬局方酸素<BR>70vol％
100313001,1116702X1028,日本薬局方亜酸化窒素<BR>50vol％<<BR>>日本薬局方酸素<BR>50vol％
100314701,1119400A1031,1バイアル中に次の成分を含有<<BR>>有効成分<BR>1バイアル中￥ｎケタミン塩酸塩(日局)230.7mg/20mL￥ｎ(ケタミンとして200mg/20mL)<<BR>>添加物<BR>ベンゼトニウム塩化物2.0mg、等張化剤、pH調節剤
100315401,1119400A2038,1バイアル中に次の成分を含有<<BR>>有効成分<BR>ケタミン塩酸塩(日局)576.7mg/10mL￥ｎ(ケタミンとして500mg/10mL)<<BR>>添加物<BR>ベンゼトニウム塩化物1.0mg、pH調節剤
119847801,1119400A3026,1アンプル中に次の成分を含有<<BR>>*有効成分<BR>1アンプル中￥ｎケタミン塩酸塩(日局)57.7mg/5mL￥ｎ(ケタミンとして50mg/5mL)<<BR>>*添加物<BR>ベンゼトニウム塩化物0.5mg、等張化剤、pH調節剤
100316101,1119401A1036,1mL中に次の成分を含有<<BR>>有効成分<BR>ドロペリドール(日局)2.5mg<<BR>>添加物<BR>酒石酸、パラオキシ安息香酸メチル0.5mg、パラオキシ安息香酸プロピル0.05mg、pH調節剤
100317802,1119402A1022,成分・含量(1mL中)：<BR>プロポフォール10mg<<BR>>*添加物（1mL中）：<BR>ダイズ油100mg￥ｎ濃グリセリン22.5mg￥ｎ精製卵黄レシチン12mg￥ｎエデト酸ナトリウム水和物0.055mg￥ｎpH調整剤適量
115357601,1119402A1030,成分・含量（１ｍＬ中）<BR>プロポフォール……１０ｍｇ<<BR>>添加物（１ｍＬ中）<BR>ダイズ油…………………５０ｍｇ￥ｎ中鎖脂肪酸トリグリセリド……５０ｍｇ￥ｎ精製卵黄レシチン………１２ｍｇ￥ｎ濃グリセリン……………２５ｍｇ￥ｎオレイン酸ナトリウム…０．３ｍｇ
117024501,1119402A1065,容量<BR>20mL<<BR>>成分・含量<BR>プロポフォール200mg<<BR>>添加物（1mL中）<BR>ダイズ油100mg、￥ｎ濃グリセリン22.5mg、￥ｎ精製卵黄レシチン12mg、￥ｎpH調節剤適量
118920901,1119402A1073,プロポフォール1％静注20mL「日医工」<BR>￥ｎ1アンプル（20mL）中プロポフォール200mgを含有する。￥ｎ添加物としてダイズ油2000mg，卵黄レシチン240mg，グリセリン450mg，pH調節剤を含有する。
116528902,1119402A1081,有効成分・含量(1mL中)<BR>プロポフォール10mg<<BR>>添加物・含量(1mL中)<BR>ダイズ油100mg￥ｎ精製卵黄レシチン12mg￥ｎ濃グリセリン22.5mg￥ｎオレイン酸0.4?0.8mg￥ｎpH調節剤適量
100318502,1119402A2029,成分・含量(1mL中)：<BR>プロポフォール10mg<<BR>>*添加物（1mL中）：<BR>ダイズ油100mg￥ｎ濃グリセリン22.5mg￥ｎ精製卵黄レシチン12mg￥ｎエデト酸ナトリウム水和物0.055mg￥ｎpH調整剤適量
115358301,1119402A2037,成分・含量（１ｍＬ中）<BR>プロポフォール……１０ｍｇ<<BR>>添加物（１ｍＬ中）<BR>ダイズ油…………………５０ｍｇ￥ｎ中鎖脂肪酸トリグリセリド……５０ｍｇ￥ｎ精製卵黄レシチン………１２ｍｇ￥ｎ濃グリセリン……………２５ｍｇ￥ｎオレイン酸ナトリウム…０．３ｍｇ
117023801,1119402A2053,有効成分<BR>プロポフォール<<BR>>含量<BR>200mg￥ｎ500mg<<BR>>容量<BR>20mL（200mg）￥ｎ50ｍL（500mg）<<BR>>添加物（10mL中）<BR>ダイズ油1g￥ｎ濃グリセリン（等張化剤）225mg￥ｎ精製卵黄レシチン120mg￥ｎ塩酸（ｐH調整剤）適量￥ｎ水酸化ナトリウム（pH調整剤）適量
117112901,1119402A2088,容量<BR>50mL<<BR>>成分・含量<BR>プロポフォール500mg<<BR>>添加物<BR>ダイズ油5g￥ｎ濃グリセリン1125mg￥ｎ精製卵黄レシチン600mg￥ｎpH調節剤適量
117025201,1119402A2096,容量<BR>50mL<<BR>>成分・含量<BR>プロポフォール500mg<<BR>>添加物(1mL中)<BR>ダイズ油100mg、￥ｎ濃グリセリン22.5mg、￥ｎ精製卵黄レシチン12mg、￥ｎpH調節剤適量
118921601,1119402A2100,プロポフォール1％静注50mL「日医工」<BR>￥ｎ1バイアル（50mL）中プロポフォール500mgを含有する。￥ｎ添加物としてダイズ油5000mg，卵黄レシチン600mg，グリセリン1125mg，pH調節剤を含有する。
116529602,1119402A2118,有効成分・含量(1mL中)<BR>プロポフォール10mg<<BR>>添加物・含量(1mL中)<BR>ダイズ油100mg￥ｎ精製卵黄レシチン12mg￥ｎ濃グリセリン22.5mg￥ｎオレイン酸0.4?0.8mg￥ｎpH調節剤適量
115359001,1119402A3025,成分・含量（１ｍＬ中）<BR>プロポフォール……１０ｍｇ<<BR>>添加物（１ｍＬ中）<BR>ダイズ油…………………５０ｍｇ￥ｎ中鎖脂肪酸トリグリセリド……５０ｍｇ￥ｎ精製卵黄レシチン………１２ｍｇ￥ｎ濃グリセリン……………２５ｍｇ￥ｎオレイン酸ナトリウム…０．３ｍｇ
118346701,1119402A3033,成分・含量(1mL中)：<BR>プロポフォール10mg<<BR>>*添加物（1mL中）：<BR>ダイズ油100mg￥ｎ濃グリセリン22.5mg￥ｎ精製卵黄レシチン12mg￥ｎエデト酸ナトリウム水和物0.055mg￥ｎpH調整剤適量
117022101,1119402A4021,有効成分<BR>プロポフォール<<BR>>含量<BR>200mg￥ｎ500mg<<BR>>容量<BR>20mL（200mg）￥ｎ50ｍL（500mg）<<BR>>添加物（10mL中）<BR>ダイズ油1g￥ｎ濃グリセリン（等張化剤）225mg￥ｎ精製卵黄レシチン120mg￥ｎ塩酸（ｐH調整剤）適量￥ｎ水酸化ナトリウム（pH調整剤）適量
117111201,1119402A4048,容量<BR>20mL<<BR>>成分・含量<BR>プロポフォール200mg<<BR>>添加物<BR>ダイズ油2g￥ｎ濃グリセリン450mg￥ｎ精製卵黄レシチン240mg￥ｎpH調節剤適量
117008501,1119402A5028,成分・含量（１ｍＬ中）<BR>プロポフォール……２０ｍｇ<<BR>>添加物（１ｍＬ中）<BR>ダイズ油…………………５０ｍｇ￥ｎ中鎖脂肪酸トリグリセリド……５０ｍｇ￥ｎ精製卵黄レシチン………１２ｍｇ￥ｎ濃グリセリン……………２５ｍｇ￥ｎオレイン酸ナトリウム…０．３ｍｇ
113892401,1119402G1025,成分・含量(1mL中)：<BR>プロポフォール10mg<<BR>>添加物（1mL中）：<BR>ダイズ油100mg￥ｎ濃グリセリン22.5mg￥ｎ精製卵黄レシチン12mg￥ｎエデト酸ナトリウム水和物0.055mg￥ｎpH調整剤適量
113893101,1119402G2021,成分・含量(1mL中)：<BR>プロポフォール10mg<<BR>>添加物（1mL中）：<BR>ダイズ油100mg￥ｎ濃グリセリン22.5mg￥ｎ精製卵黄レシチン12mg￥ｎエデト酸ナトリウム水和物0.055mg￥ｎpH調整剤適量
113894801,1119701G1076,成分・含量￥ｎ（１mL中）<BR>日本薬局方イソフルラン1mL含有
117064101,1119702G1038,本品1mL中セボフルラン1mL含有。￥ｎ(本剤は化学的に安定なため、安定剤は添加されていない。)
118219401,1119702G1054,成分・含量(1mL中)<BR>セボフルラン1mL￥ｎ（本剤は化学的に安定なため、安定剤は添加されていない。）
