YJコード	[BrandName]
1112700X1038	組成<BR>[ActIngreName]に
1115400X1027	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1115400X2023	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1115403D3043	[BrandName]<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する
1115403D3051	販売名<BR>[BrandName]成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1115403D4031	販売名<BR>[BrandName]成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1116700X1061	本剤は[ActIngreName][Number][Unit]以上を含む室温大気圧下において[Color]の[Form]でにおいはない[CaseName]に充填された[Form]化高圧[Form]である
1116700X1088	本剤は[ActIngreName][Number][Unit]以上を含む
1116700X1100	本剤は[ActIngreName][Number][Unit]以上を含む
1116700X1142	本剤は[ActIngreName][Number][Unit]以上含む
1116701X1023	[ActIngreName]<BR>[Number][Unit][ActIngreName]<BR>[Number][Unit]
1116702X1028	[ActIngreName]<BR>[Number][Unit][ActIngreName]<BR>[Number][Unit]
1119400A1031	[Number][Unit]中に次の成分を含有有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）
1119400A2038	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）
1119400A3026	[Number][Unit]中に次の成分を含有有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）
1119401A1036	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1119402A1022	成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]
1119402A1030	成分含量（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit]
1119402A1065	容量<BR>[Number][Unit]成分含量<BR>[ActIngreName][Number][Unit]
1119402A1073	[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有する
1119402A1081	有効成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1119402A2029	成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]
1119402A2037	成分含量（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit]
1119402A2053	有効成分<BR>[ActIngreName]含量<BR>[Number][Unit][Number][Unit]容量<BR>[Number][Unit]（[Number][Unit]）[Number][Unit]（[Number][Unit]）
1119402A2088	容量<BR>[Number][Unit]成分含量<BR>[ActIngreName][Number][Unit]
1119402A2096	容量<BR>[Number][Unit]成分含量<BR>[ActIngreName][Number][Unit]
1119402A2100	[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有する
1119402A2118	有効成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1119402A3025	成分含量（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit]
1119402A3033	成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]
1119402A4021	有効成分<BR>[ActIngreName]含量<BR>[Number][Unit][Number][Unit]容量<BR>[Number][Unit]（[Number][Unit]）[Number][Unit]（[Number][Unit]）
1119402A4048	容量<BR>[Number][Unit]成分含量<BR>[ActIngreName][Number][Unit]
1119402A5028	成分含量（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit]
1119402G1025	成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]
1119402G2021	成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]
1119701G1076	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有
1119702G1038	本品[Number][Unit]中[ActIngreName][Number][Unit]含有（本剤は化学的に安定なため安定剤は添加されていない）
1119702G1054	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（本剤は化学的に安定なため安定剤は添加されていない）
1119702G1062	本品[Number][Unit]中[ActIngreName][Number][Unit]含有．（本剤は化学的に安定なため安定剤は添加されていない．）
1121001X1042	[Number][Unit]中：<BR>[ActIngreName][Number][Unit]含有
1121001X1050	[ActIngreName]の原薬である
1121001X1085	本品[Number][Unit]中に[ActIngreName][Number][Unit]を含む
1121001X1107	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有
1121001X1166	[Number][Unit]中[BrandName][Number][Unit]含有
1121001X1174	有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1121001X1204	組成<BR>本剤は[Number][Unit]中[ActIngreName][Number][Unit]を含有する
1121001X1212	本剤[Number][Unit]中[ActIngreName][Number][Unit]を含む
1121001X1220	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1121001X1239	本品[Number][Unit]中[ActIngreName][Number][Unit]含有
1123001X1020	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有
1123700J1020	有効成分<BR>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit]
1123700J2027	有効成分<BR>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit]
1123700X1023	有効成分<BR>[ActIngreName]含量（[Number][Unit][Number][Unit]中）<BR>[Number][Unit]
1124001B1039	[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]
1124001F1022	[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]
1124001F1030	有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124001F2029	[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]
1124001F2037	有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124002M1042	有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124002M2022	有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124002M2049	有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003B1070	[Form][Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124003C1092	成分含量：<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003C1106	有効成分の名称<BR>[ActIngreName]含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003F1021	成分含量：<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003F2044	組成<BR>[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]
1124003F2176	有効成分の名称<BR>[ActIngreName]含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003F2184	[Number][Unit]中：[ActIngreName]…[Number][Unit]
1124003F2222	成分含量：<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003F2230	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124003F2249	[Number][Unit]中の有効成分：<BR>[ActIngreName][Number][Unit]
1124003F2257	[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する
1124003F3040	組成<BR>[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]
1124003F3083	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124003F3091	有効成分の名称<BR>[ActIngreName]含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124003F3121	成分含量：<BR>[Number][Unit]中[ActIngreName][Number][Unit]
1124004F1042	有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1124004F2030	有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1124005C1032	[Form][Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124005F1020	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124005F2027	[Number][Unit]中に次の成分を含有有効成分<BR>[ActIngreName][Number][Unit]
1124007F1020	有効成分<BR>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit]
1124007F1038	有効成分（含量）<BR>[ActIngreName]（[Number][Unit]）
1124007F1046	販売名<BR>[BrandName]有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1124007F1054	[Number][Unit]中：[ActIngreName]…[Number][Unit]
1124007F1062	[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する
1124007F1070	成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]
1124007F2026	有効成分<BR>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit]
1124007F2034	[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する
