成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],612
有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],559
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit],525
[Number][Unit]中の有効成分：<BR>[ActIngreName][Number][Unit],341
[Number][Unit]中：[ActIngreName]…[Number][Unit],280
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する,277
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,276
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit],257
[BrandName]：[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,253
有効成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],216
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,197
有効成分の名称<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[ActIngreName][Number][Unit],194
[Number][Unit]中[ActIngreName][Number][Unit]を含有する,187
組成<BR>[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit],144
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit],121
[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],118
成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit],114
有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit],105
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有,102
成分分量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],101
[Number][Unit]中[ActIngreName][Number][Unit]含有,96
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit],95
成分含量<BR>[Number][Unit]中[ActIngreName]…[Number][Unit],93
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有,84
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[Number][Unit]）,73
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,63
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,54
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,51
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],50
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit],50
有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,47
本剤は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,42
販売名<BR>[BrandName]<<BR>>成分分量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],41
[Number][Unit]中：[ActIngreName]…[Number][Unit]（[ActIngreName]として[Number][Unit]）,39
有効成分<BR>[Number][Unit]中：[ActIngreName][Number][Unit],38
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],36
本品は[ActIngreName][ActIngreName]及び[ActIngreName]を有効成分とする[DrugParts][ActIngreName]及び[ActIngreName]を有効成分とする[DrugParts]からなり用時混合して使用する<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>><<BR>><<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>><<BR>><<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number]Ｃａ[Number]＋[Number]Ｍｇ[Number]＋[Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number]Ｃａ[Number]＋[Number]Ｍｇ[Number]＋[Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number]Ｃａ[Number]＋[Number]Ｍｇ[Number]＋[Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number]Ｃａ[Number]＋[Number]Ｍｇ[Number]＋[Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number]Ｃａ[Number]＋[Number]Ｍｇ[Number]＋[Number][Fomula]－[Number][ActIngreName][Number],36
有効成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]（[ActIngreName]として[Number][Unit]）,35
販売名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],34
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit],33
[Number][Unit]中[ActIngreName][Number][Unit]含有（[Number][Unit]）,33
組成性状<BR>本剤はＧ[Form]（[DrugParts]）とＥ[Form]（[DrugParts]）の[Number][Form]からなる腹膜[Form]であり使用直前に[Number][Form]を混合し[Number][Form]として使用する,32
[Number][Unit]中[BrandName][Number][Unit]含有,31
有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]<<BR>>容量<BR>[Number][Unit],31
本品[Number][Unit]中[ActIngreName][Number][Unit]含有,30
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する製剤である,30
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（[Number][Unit]）,30
[BrandName]は[Number][Unit]中に次の成分を含有する<<BR>>有効成分含有量<BR>[ActIngreName][Number][Unit],29
本剤は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の[Form]である,28
[Number][Unit]（[Number][Unit]）中：[ActIngreName]…[Number][Unit],28
[BrandName]：[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,28
[Number][Unit]中：有効成分<BR>[ActIngreName][Number][Unit],28
販売名<BR>[BrandName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],28
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],27
有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit],26
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,26
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,24
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]を含有する,24
本品[Number][Unit]中[BrandName][Number][Unit]含有,24
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],24
[Form][Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit],23
成分含量<BR>[ActIngreName][Number][Unit]中[Number][Unit],23
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有,23
有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]に相当）,23
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,22
本剤[Number][Unit]中[ActIngreName][Number][Unit]を含む,22
有効成分[Number][Unit]中<BR>[ActIngreName][Number][Unit],22
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,22
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有する,21
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する,21
[Number][Unit]中の有効成分：<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,21
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,21
[Number][Unit]容量：<BR>[Number][Unit]<<BR>>有効成分：<BR>[ActIngreName][Number][Unit],21
成分含量[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit],20
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,20
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]を含有する,20
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含む[Form]である,20
本剤は[DrugParts]と[DrugParts]の[Number][Form]からなり[CaseName]の[Number]層に各[Form]が分割され封入されています使用直前に[Number][Form]の層を開通させよく混合して[Number][Form]としさらに[Number]層目を開通させて使用します<<BR>>成分分量（[Unit]）：[DrugParts]：[ActIngreName]（[Fomula]）<BR>[Number]<<BR>>成分分量（[Unit]）：[DrugParts]：[ActIngreName]（[Fomula]）<BR>[Number]<<BR>>成分分量（[Unit]）：[DrugParts]：[ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）<BR>[Number]<<BR>>成分分量（[Unit]）：[DrugParts]：[ActIngreName]（[Fomula]）<BR>[Number]<<BR>>成分分量（[Unit]）：[DrugParts]：[ActIngreName]（[Fomula]）<BR>[Number]<<BR>>ｐＨ調整剤として[DrugParts]には塩酸および[ActIngreName]を適量[DrugParts]には[ActIngreName]を適量含有<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：[ActIngreName]（ｇ／ｄＬ）<BR>[Number]<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：電解質（ｍ／[Unit]）：[Fomula]＋<BR>[Number]<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：電解質（ｍ／[Unit]）：Ｃａ[Number]＋<BR>[Number]<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：電解質（ｍ／[Unit]）：Ｍｇ[Number]＋<BR>[Number]<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：電解質（ｍ／[Unit]）：[Fomula]<BR>[Number]<<BR>>電解質濃度：[DrugParts]と[DrugParts]の混合後：電解質（ｍ／[Unit]）：[ActIngreName]<BR>[Number],20
組成<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,19
成分含量<BR>[Number][Unit][Number][Unit]中[ActIngreName][Number][Unit],19
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]を含有する,19
成分含量<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,19
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit],18
本品[Number][Unit]中[ActIngreName][Number][Unit]を含む,18
成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]に相当）,18
[Number][Unit]中[ActIngreName][Number][Unit],18
[Number][Unit]中：[ActIngreName]…[Number][Unit]（[Number][Unit]）,18
有効成分（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit],17
有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[Number][Unit]）,17
有効成分の名称<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit],17
[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の[Form]である,17
[BrandName]は[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit],17
[Number][Unit]中[ActIngreName]含量<BR>[Number][Unit],17
[ActIngreName][Number][Unit],17
[ActIngreName]濃度<BR>[Number][Unit]<<BR>>内容量<BR>[Number][Unit]<<BR>>[Number][Unit]中[ActIngreName]含有量<BR>[Number][Unit]<<BR>>[Number][Unit]中[ActIngreName]含有量<BR>[Number][Unit],17
[Number][Unit]中：有効成分（含量）<BR>[ActIngreName]（[Number][Unit]）,16
有効成分（[Number][Unit]中）<BR>[ActIngreName]…[Number][Unit],16
[BrandName]<BR>[Number][Unit]中に次の成分分量を含有する,16
有効成分の名称<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,16
販売名<BR>[BrandName]<<BR>>成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName][Number][Unit],16
成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit],16
有効成分<BR>[ActIngreName][Number][Unit],16
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含有する製剤である,16
本剤は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]量として[Number][Unit]に相当する）を含有する<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>有効成分：[ActIngreName]（[Unit]）（[ActIngreName]含有量（[Unit]））<BR>[Number]（[Number]）,16
成分含量<BR>[Number][Unit]中[ActIngreName]…[Number][Unit]（[ActIngreName]として[Number][Unit]）,15
成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,15
有効成分：<BR>[Number][Unit]中[ActIngreName][Number][Unit],15
[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）<<BR>>熱量<BR>[Number][Unit][Number][Unit],15
[ActIngreName]（ｍｇ／[Unit]）<BR>[Number]<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],15
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit],14
[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,14
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有,14
[BrandName]は[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する,14
有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit],14
有効成分名称<BR>[ActIngreName]<<BR>>有効成分含量（[Number][Unit]中）<BR>[Number][Unit],14
,14
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]）[Number][Unit]（[Number][Unit]）,14
[BrandName]は[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>><<BR>><<BR>>本剤の有効成分[ActIngreName]（遺伝子組換え）はチャイニーズハムスター卵巣細胞で生産される,14
内容量（[Unit]）<BR>[Number]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有<<BR>>[ActIngreName]濃度（ｍｇ／[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],14
販売名<BR>[BrandName]<<BR>>成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],13
[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,13
有効成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit],13
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],13
〈成分分量〉有効成分[Number][Unit][Number][Unit]中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として）（[Number][Unit]）<<BR>>〈電解質量〉[Number][Unit][Number][Unit]中<BR>[Fomula]＋[Number][Unit]Ｋ＋[Number][Unit][Fomula]－[Number][Unit]Ｌａｃｔａｔｅ－[Number][Unit]<<BR>>〈熱量〉[Number][Unit][Number][Unit]中<BR>[Number][Unit],13
成分含有量：有効成分：[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]（[Unit]）<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される<<BR>>注[Number]）必要に応じて添加,13
本剤は[Number][Unit]中に以下の成分を含有する<<BR>>内容量<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（[ActIngreName]含有量：[Number][Unit]（[Number][Unit]））,13
[BrandName]<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,12
[ActIngreName]の[Form]である,12
有効成分<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],12
有効成分の名称<BR>[ActIngreName]<<BR>>含量：[ActIngreName]として<BR>[Number][Unit],12
有効成分<BR>[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit],12
成分含量<BR>[Number][Unit]中[ActIngreName]を[ActIngreName]として[Number][Unit],12
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit][Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]を含有するまた,12
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含有する,12
本剤は[Number][Unit]（[Number][Unit]）中に下記成分を含む（組成の表参照）,12
〈成分分量〉有効成分[Number][Unit][Number][Unit]中<BR>[ActIngreName][Number][Unit]<<BR>>〈熱量〉[Number][Unit][Number][Unit]中<BR>[Number][Unit],12
本品[Number][Unit]中に[ActIngreName][Number]）[Number][Unit]を含有する,12
組成<BR>本剤は[Number][Unit]中[ActIngreName][Number][Unit]を含有する,11
本品[Number][Unit]中[ActIngreName][Number][Unit]を含有する,11
