"","Record","Cluster_number.Record.","paste..Cluster....Cluster_number.Record.."
"1",21,3,"Cluster  3"
"2",3,3,"Cluster  3"
"3",14,3,"Cluster  3"
"4",20,3,"Cluster  3"
"5",7,4,"Cluster  4"
"6",4,4,"Cluster  4"
"7",5,4,"Cluster  4"
"8",18,4,"Cluster  4"
"9",19,4,"Cluster  4"
"10",16,5,"Cluster  5"
"11",8,5,"Cluster  5"
"12",22,5,"Cluster  5"
"13",10,6,"Cluster  6"
"14",9,6,"Cluster  6"
"15",25,6,"Cluster  6"
"16",1,1,"Cluster  1"
"17",11,1,"Cluster  1"
"18",23,1,"Cluster  1"
"19",12,2,"Cluster  2"
"20",17,2,"Cluster  2"
"21",13,2,"Cluster  2"
"22",15,2,"Cluster  2"
"23",6,2,"Cluster  2"
"24",2,2,"Cluster  2"
"25",24,2,"Cluster  2"
