Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName],19,10,4,3,Cluster  3
[ActIngreName]<BR>[Number][Unit]<<BR>>備考<BR>健康なブタの小腸粘膜に由来,63,2,5,3,Cluster  3
[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]（[Number][Unit]）中：[Number][Unit],3,5,1,3,Cluster  3
[ActIngreName][Form]（[Number][Unit]）は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）を[Number][Unit]含有する,25,3,2,3,Cluster  3
[ActIngreName][Form]：[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有,25,3,3,3,Cluster  3
[ActIngreName][Number]）[Number][Unit]を含有する,29,7,2,3,Cluster  3
[ActIngreName][Unit]「フソー」は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,3,3,Cluster  3
[ActIngreName][Unit]バッグ「フソー」は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,2,3,Cluster  3
[ActIngreName][Unit]ＰＬ「フソー」は[Number][Unit]（[CaseName]又は[CaseName]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,5,3,Cluster  3
[ActIngreName]とたんぱく質の化合物であるたんぱく質の基原：カゼイン,19,10,1,3,Cluster  3
[ActIngreName]の[Form]である,19,10,12,3,Cluster  3
[ActIngreName]の原薬である,19,10,4,3,Cluster  3
[ActIngreName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）（[ActIngreName]として）[Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]として）[Number][Unit]含有する,3,5,2,3,Cluster  3
[ActIngreName]を滅菌したものである,19,10,1,3,Cluster  3
