"","Record","Cluster_number.Record.","paste..Cluster....Cluster_number.Record.."
"1",54,3,"Cluster  3"
"2",63,3,"Cluster  3"
"3",25,3,"Cluster  3"
"4",46,3,"Cluster  3"
"5",3,3,"Cluster  3"
"6",61,3,"Cluster  3"
"7",29,3,"Cluster  3"
"8",59,3,"Cluster  3"
"9",95,3,"Cluster  3"
"10",19,3,"Cluster  3"
"11",7,3,"Cluster  3"
"12",26,3,"Cluster  3"
"13",47,4,"Cluster  4"
"14",94,4,"Cluster  4"
"15",40,4,"Cluster  4"
"16",4,4,"Cluster  4"
"17",43,4,"Cluster  4"
"18",17,4,"Cluster  4"
"19",55,4,"Cluster  4"
"20",71,4,"Cluster  4"
"21",8,5,"Cluster  5"
"22",20,5,"Cluster  5"
"23",72,5,"Cluster  5"
"24",28,5,"Cluster  5"
"25",89,5,"Cluster  5"
"26",11,5,"Cluster  5"
"27",24,5,"Cluster  5"
"28",65,5,"Cluster  5"
"29",88,5,"Cluster  5"
"30",98,5,"Cluster  5"
"31",41,5,"Cluster  5"
"32",42,5,"Cluster  5"
"33",78,5,"Cluster  5"
"34",82,5,"Cluster  5"
"35",85,5,"Cluster  5"
"36",34,5,"Cluster  5"
"37",76,5,"Cluster  5"
"38",35,5,"Cluster  5"
"39",70,5,"Cluster  5"
"40",91,5,"Cluster  5"
"41",23,5,"Cluster  5"
"42",44,5,"Cluster  5"
"43",5,5,"Cluster  5"
"44",99,5,"Cluster  5"
"45",16,11,"Cluster  11"
"46",75,11,"Cluster  11"
"47",100,11,"Cluster  11"
"48",84,11,"Cluster  11"
"49",96,11,"Cluster  11"
"50",9,7,"Cluster  7"
"51",10,7,"Cluster  7"
"52",56,7,"Cluster  7"
"53",58,7,"Cluster  7"
"54",57,7,"Cluster  7"
"55",83,7,"Cluster  7"
"56",93,2,"Cluster  2"
"57",53,2,"Cluster  2"
"58",79,2,"Cluster  2"
"59",86,2,"Cluster  2"
"60",45,2,"Cluster  2"
"61",66,2,"Cluster  2"
"62",2,2,"Cluster  2"
"63",37,2,"Cluster  2"
"64",30,1,"Cluster  1"
"65",77,1,"Cluster  1"
"66",52,1,"Cluster  1"
"67",68,1,"Cluster  1"
"68",92,1,"Cluster  1"
"69",38,1,"Cluster  1"
"70",1,1,"Cluster  1"
"71",22,1,"Cluster  1"
"72",31,1,"Cluster  1"
"73",50,1,"Cluster  1"
"74",48,1,"Cluster  1"
"75",15,1,"Cluster  1"
"76",90,1,"Cluster  1"
"77",49,10,"Cluster  10"
"78",51,10,"Cluster  10"
"79",14,10,"Cluster  10"
"80",21,10,"Cluster  10"
"81",18,10,"Cluster  10"
"82",60,10,"Cluster  10"
"83",36,6,"Cluster  6"
"84",67,6,"Cluster  6"
"85",87,6,"Cluster  6"
"86",73,6,"Cluster  6"
"87",27,6,"Cluster  6"
"88",32,6,"Cluster  6"
"89",39,6,"Cluster  6"
"90",80,6,"Cluster  6"
"91",6,6,"Cluster  6"
"92",74,6,"Cluster  6"
"93",12,8,"Cluster  8"
"94",81,8,"Cluster  8"
"95",97,8,"Cluster  8"
"96",62,9,"Cluster  9"
"97",13,9,"Cluster  9"
"98",69,9,"Cluster  9"
"99",33,9,"Cluster  9"
"100",64,9,"Cluster  9"
