"","Record","Cluster_number.Record.","paste..Cluster....Cluster_number.Record.."
"1",1,1,"Cluster  1"
"2",7,1,"Cluster  1"
"3",24,1,"Cluster  1"
"4",2,1,"Cluster  1"
"5",23,1,"Cluster  1"
"6",12,3,"Cluster  3"
"7",4,3,"Cluster  3"
"8",10,3,"Cluster  3"
"9",13,4,"Cluster  4"
"10",17,4,"Cluster  4"
"11",20,4,"Cluster  4"
"12",6,4,"Cluster  4"
"13",25,4,"Cluster  4"
"14",11,4,"Cluster  4"
"15",18,4,"Cluster  4"
"16",8,2,"Cluster  2"
"17",15,2,"Cluster  2"
"18",3,2,"Cluster  2"
"19",21,2,"Cluster  2"
"20",5,2,"Cluster  2"
"21",19,2,"Cluster  2"
"22",9,5,"Cluster  5"
"23",22,5,"Cluster  5"
"24",14,5,"Cluster  5"
"25",16,5,"Cluster  5"
